Codigo,Descripcion,Cantidad,Costo
51-321-032,L 800 3015 Rojo Nacional,488,188138.64
51-321-033,L 800 4010 Azul Nacional,73,27115.85
51-321-034,L 800 5006 Verde Oscuro Nacional,87,44171.46
51-321-035,L 800 5007 Verde Claro Nacional,17,7519.7
51-321-036,L 800 4013 Azul Claro Nacional,80,10841.3
51-321-037,L 800 3014 Rojo Marlboro FF,304,82317.74
51-321-042,L 800 5004 Verde Textura Marlboro Menthol Lights 100's,223,48725.01
51-321-043,L 800 5011 Verde Textura Lateral Marlboro Menthol Lights 100's,151.95,28244.43
51-321-050,L 500 0080  (  MJS-213  ) Barniz S/Impresión (SW-1685E) Presentacion en Tanques de 55 galones.,229.2,62109.77
51-321-051,L800-4607 Azul Proceso Marlboro (Cyan PMI Roll Labels),442,184724.46
51-321-063,HT10500358:BC16676 Pantone 300 PMI SunChemical BLUE K525,108.2,76561.17
51-321-064,HT10500359:BC16677 Pantone 541 PMI SunChemical BLUE K525,229.24,168014.58
51-321-066,Pantone 347 PMI Siegwerk,151,59867.26
51-321-067,Pantone 3425 PMI Siegwerk,144,57392.12
51-321-068,Pantone 300 PMI Siegwerk,75,29063.31
51-321-069,Pantone 541 PMI Siegwerk,170,72396.99
51-321-070,Azul Reflex Nipol Superficie Cano,150.2,44523.49
51-321-071,Pantone Green (Comme Il Faut),0,0
51-321-073,Azul Cyan Uniflex Huber GFU Superficie,60,20700
51-321-075,L 800-1072 Amarillo 132-C ROTO (Producto: Roll Label Lider),49.8,22918.61
51-321-077,L 800-4103 Azul 2955-C ROTO (Producto: Roll Label Lider),49,26600.45
51-321-1000, Blanco Multitek (Gatorade) Labels Wikoff,90,49387.5
51-321-135,CRJGS2135402 Dorado Marlboro FF GOLD K525,167,100808.93
51-321-140,CRJGS4135414 Rojo Líder (CLATLCE00BA ROTOGEM PM L Red),319.94,153763.47
51-321-209,AAMGSM 038962 Sunstretch Dorado 871 Gold:K525,440.7,299841.86
51-321-212,AAMGS 8039592 Buff Brugal Extra Viejo,151.38,58763.23
51-321-213,AAMGS 4039247 Rojo Brugal,336.4,239805.74
51-321-214,AAMGS 5039246 Azul Brugal,161.57,101280.06
51-321-216,AAMGS 9039245 Gris Brugal,288,83039.52
51-321-225,AAQGS 2032825 Sunstretch Transparent Gold,184.44,89884.29
51-321-228,MAGENTA AR PRO HS3A400007 SUNCHEMICAL,167.3,63149.33
51-321-308,Amarillo Proceso Nipol Superficie,10.7,3112.31
51-321-409,L 820 4184 Azul Brugal,180,65607.53
51-321-411,L 820 1189  Crema Brugal Añejo,276,78458.26
51-321-412,L 820 3211 Rojo Brugal,198,121088.68
51-321-415,L 820-1098 Fondo Buff Brugal Extraviejo,180,51683.4
51-321-502,#3031-C Barniz sobre impresión en papel metalizado retintivo. ( Barriles de 485 Lbs),4391.4,1200203.42
51-321-504,Barniz Para Sobre Impresión en BOPP Rotograbado AQL717-1R,1322.4,272137.62
51-321-505,Barniz Para Sobre Impresión en Papel Satinado (Carnation) Rotograbado AQL-731-1RF,840,245924.39
51-321-905,114T40464-55G Rotolux Blanco Wikoff (Cano Industrial),386.25,102074.9
51-321-906,114T40465-5G Rotolox Negro Wikoff,18.33,6171.34
51-321-907,114T40466-5G Rotolux Presidente Red 485 Wikoff (Cano Industrial),198,72912.27
51-321-908,114T40467-5G Rotolux Verde 355 Wikoff (Cano),126,52231.69
51-321-909,114T40468-5G Violeta 267 Rotolux Wikoff (Cano Industrial),180,99993.96
51-321-911,114T40474-5G Rotolux Bohemia Gold 873 Dirty Dark Gold Wikoff (Cano Industrial),380,171259.29
51-321-913,114T40471-5G Warm Red Rotolux Bohemia Red Wikoff (Cano Industrial),36,15084
51-321-915,Verde 376 Rotolux Wikoff,18,7338.72
51-321-918,114T04506-55G Extender Rotolux Wikoff (Cano Industrial),700,110427.24
51-321-957,Pantone 376 (Tinta para Minute Maid),69,19875.8
51-321-958,Pantone 348 (Tinta para Minute Maid),34,9150.98
51-321-959,Rotolux Pro. Yellow 114T48376-5G (Suplidor: Wikoff / Producto: Carnation),108,40260.24
51-321-960,Rotolux Pro. Magenta 114T48377-5G (Suplidor: Wikoff / Producto: Carnation),180,70082.64
51-321-961,Rotolux Pro. Cyan 114T48378-5G (Suplidor: Wikoff / Producto: Carnation),54,20801.12
51-321-967,HH62400021 Rojo Pantone  PT-185 (Gatorade ),222.46,152774.58
51-321-968,HH62400020 Rojo Pantone PT-199 (Gatorade),286.02,164979.23
51-321-969,CRQGS1092281-SE Blanco  (Gatorade),656.07,307390.16
51-321-970,HH62300013 Naranja PT-1505  (Gatorade),86.56,61152.88
51-321-971,HH62900003-SE Negro Proceso (Gatorade),476.7,247579.91
51-321-972,HH62M00007-SE Gris  F-Silver (Gatorade),378.89,258675.77
51-321-973,Pantone 202 Marrón Rotolux Wikoff ( para Brahma ),72,30383.96
51-321-974,Pantone 280 Azul Rotolux Wikoff ( para Brahma ),95.7,50665.8
51-321-975,Pantone Amarillo 012 Rotolux Wikoff ( para Brahma ),252,98330.8
51-321-977,5BO08XXU0104 Thermochromic Water Based Gravure Blue FC 8C,54.54,175223.1
51-321-979, DK Azul H134500045  ( Pepsi ),110.79,52202.87
51-321-980,P.Rojo H134400056 ( Pepsi ),61.44,31765.6
51-321-981,P. Azul H134500044  ( Pepsi ),31.56,17284.47
51-321-982,Magenta Proceso 30302 GFU,168.28,47640.07
51-321-987,TURO4716 Rojo Pluritech Shrink   ( Gatorade ),30.8,19074.73
51-321-988,TUEO4717 Naranja Pluritech Shrink   ( Gatorade ),30,18425.55
51-321-993,Pantone 368C Verde Claro  Cano ( Etqs. Festival Presidente ),119,35852.62
51-321-994,"ROJO PANTONE 485 GFA, CÓDIGO 401464, HUBER",40,11751.71
51-321-995,"VERDE PANTONE 355 GFA, CÓDIGO 401466, HUBER",40,11524.03
51-321-996,"NEGRO PROCESO 734 GFA, CÓDGIO 401468, HUBER.",40,13888.38
51-321-997,"BLANCO 645 GFA, CÓDIGO 401471, HUBER.",80,20491.06
51-321-998,"DORADO PANTONE 871 GFA, CÓDIGO 401474, HUBER.",40,24729.37
51-321-999,"VIOLETA PANTONE 267 GFA, CÓDIGO 401477, HUBER.",20,6191.1
51-331-091,PANTONE YELLOW BASE AGUA FLEXO,35.53,9033.42
51-331-092,PANTONE MAGENTA BASE AGUA FLEXO,33.34,8540.72
51-331-093,PANTONE CYAN BASE AGUA FLEXO,35.6,8480.76
51-331-094,"PANTONE BLACK BASE AGUA FLEXO , REF.TLP600",35.6,7343.4
51-331-095,PANTONE YELLOW 12 BASE AGUA FLEXO,15,2903.43
51-331-096,PANTONE ORANGE 021 BASE AGUA FLEXO,17.2,4156.51
51-331-097,PANTONE WARM RED BASE AGUA FLEXO,21,6409.41
51-331-098,PANTONE RED 032 BASE AGUA FLEXO,15,3975.68
51-331-099,PANTONE RUBINE BASE AGUA FLEXO,30,7301.02
51-331-100,PANTONE PURPLE BASE AGUA FLEXO,15,5710.62
51-331-101,PANTONE VIOLET BASE AGUA FLEXO,15,6349.33
51-331-103,PANTONE GREEN BASE AGUA FLEXO,15,3626.24
51-331-104,PANTONE TRANSPARENT WHITE  BASE AGUA FLEXO,31.79,5004.72
51-331-105,PANTONE OPAQUE WHITE BASE AGUA FLEXO,21,4317.75
51-331-106,PANTONE RHODAMINE RED 12 BASE AGUA FLEXO,15,6650.62
51-331-107,PANTONE BLUE 072 BASE AGUA FLEXO,15,3710.79
51-331-108,ADHESIVO BASE AGUA PARA LAMINACION,8,2541.53
51-332-001,UFR10080 PROCESS YELLOW,95.8,97417.05
51-332-002,UFR30080  UFR BW4 Strong Process Magenta,63.2,66492.76
51-332-003,UFR50080 PROCESS CYAN,68.4,73361.91
51-332-004,UFR8-0080-465U BW8 PROCESS BLACK #9,6.64,6689.36
51-332-006,UV LAMINATING ADHESIVE EXPNW-1069-A UVH 01045-462,320.75,285762.29
51-332-007,UFR30003 UFR RODHAMINE RED,8.16,11234.72
51-332-008,UZR30001 Warm Red UV (Flint) (UFR30005 UFR WARM RED),40.82,67042.93
51-332-010,UFR20033 Pantone Orange 021 UV (UFR HS BW5),16.32,41414.56
51-332-011,UFR50021 UFR REFLEX BLUE,16.33,22683.03
51-332-012,UFR60052 GREEN,0,-0.03
51-332-013,UFR50022 PROCESS BLUE,48.96,49650.08
51-332-014,UFR90100 Force Opaque White,68.85,80172.18
51-332-016,UFRP0072 BLUE 072,24.48,36654.67
51-332-017,UFR30002 RUBINE RED,48.97,46642.87
51-332-018,UFR 30032 UFR 032 RED,16.33,26685.83
51-332-019,UFR40013 UFR VIOLET,9.63,11377.19
51-332-020,UFR40011 UFR PURPLE,12.24,13517.74
51-332-025,Dorado 871 136-1303 PMS,7.05,18594.38
51-332-031,Silver 877 UV (Sunchemical),13.5,25610.86
51-332-037,UFR00061 Transparent White (Extender),20.92,18735.19
51-332-049,1307795-2000 INFLEX UV ITX-FREE ORANGE 021,17,14230.12
51-332-051,1307793-2000 INFLEX UV ITX-FREE BS QUINACRIDONE RED (RODHAMINE).,31.21,39379.24
51-332-053,1338325-2000 INXFLEX ITX-FREE UV PANTONE 012 YELLOW,14.52,35688.31
51-332-054,1338329-3020 INXFLEXT TM ITX FREE UV PANTONE 032 RED,0,0
51-332-058,1338394-2000 InxFlex UV ITX Pantone Purple C,9.9,10743.61
51-332-066, UVH01072 COLD FOIL ADHESIVE VISCOSITY  FLINT,40,88013.06
51-332-111,MUF BW8 872 Dorado  UV Flexo,0,0
51-332-112,Limon Ice UFR10280 ( Gatorade ),8.16,17461.12
51-332-113,Blanco UV UFK9-0124-465U Flint  ( Gatorade),334.33,315266.28
51-332-114,UFRP-0185-465U Rojo-185 UV -- Gatorade--,110.16,135576.27
51-332-115,Gris UV UFR8-0254-465U Flint ( Gatorade),385.18,1538827.39
51-332-116, Naranaja UV URP -1505-4650 Flint  (l Gatorade),16.32,21109.11
51-332-117,Rojo-0199-465U  UV Flint ( Gatorade),32.64,43215.78
51-332-118,Dorado 874 UV Flexo,5.34,24349.18
51-332-119,Uva-UFR40270  UV Flint ( Gatorade),4.08,6082.68
51-332-120,Azul Frost Glacier -UFR50395 UV Flint ( Gatorade),12.25,12437.79
51-332-121,Azul Cool-UFR50396 UV Flint ( Gatorade),8.16,15848.6
51-332-122,Melon UV Flint ( Gatorade),8.16,9683.06
51-332-123,UFR2-0227-465U Naranaja UV  --Gatorade--,16.32,18375.52
51-332-200,#7035-S Barniz Brillo UV,108.86,45449.17
51-332-202,Barniz U37536D UV Flexo Mate Estampable e Imprimible,128.84,100301.91
51-332-203,Hidro Film Primer SP Ref: 7JKWH575910 ( CRI ),37.1,14537.16
51-332-204,Azul Oscuro ESW2500085 -SE ( Pepsi ),112.54,100431.94
51-332-205,Azul Claro ESW2500086 -SE ( Pepsi ),73.51,79148.57
51-332-206,Rojo ESW2400058 -SE ( Pepsi ),74.84,68503.28
51-332-207,Negro Max D  FLNFV9482108 -SE ( Pepsi ),69.58,58234.6
51-332-208,UVFO-1014-465U Hot Stamp. Prime 8# UVF-Flexocure,14.58,39389.84
51-332-209,UAI00142 - UV  Aditivo ( Gatorade ),8.25,18411.63
53-340-007,Acetato de Etilo,1842.04,22182.39
53-340-008,"Alcohol ""N"" Propil (Propanol)",4800,384427.09
53-340-009,"Acetato ""N"" Propil",1570.04,8332.93
53-340-010,Metoxipropanol,0,0
54-350-005,"Morchem PS 220 A, Adhesivo",125,41880.6
54-350-006,"Morchem PS 220 C, Adhesivo",40,4797.17
